sample_id,component_name,success,drc_pass,lvs_pass,execution_time,parameters,output_directory,pex_status,total_resistance_ohms,total_capacitance_farads,area_um2,symmetry_horizontal,symmetry_vertical
1,tg_sample_0001,True,True,True,29.35896062850952,"{'width': [1.0, 2.0], 'length': [0.15, 0.15], 'fingers': [1, 1], 'multipliers': [1, 1], 'substrate_tap': False}",tg_dataset_5_samples/sample_0001,PEX Complete,81231.86954200029,1.0403348000000002e-14,259.7833999999999,1.0,0.6651764508432794
2,tg_sample_0002,True,True,True,75.16478776931763,"{'width': [2.0, 4.0], 'length': [0.18, 0.18], 'fingers': [2, 2], 'multipliers': [1, 1], 'substrate_tap': True}",tg_dataset_5_samples/sample_0002,PEX Complete,369158.3916403401,2.1303673000000006e-14,488.53920000000403,1.0,0.6945849995251174
3,tg_sample_0003,False,True,False,571.7324965000153,"{'width': [3.0, 6.0], 'length': [0.15, 0.15], 'fingers': [3, 3], 'multipliers': [2, 2], 'substrate_tap': False}",tg_dataset_5_samples/sample_0003,PEX Complete,170966.8971330001,4.5296900000000173e-14,954.5744999999988,0.999530680947375,0.6647532486987653
4,tg_sample_0004,True,True,True,47.26456165313721,"{'width': [1.5, 3.0], 'length': [0.5, 0.5], 'fingers': [1, 1], 'multipliers': [1, 1], 'substrate_tap': True}",tg_dataset_5_samples/sample_0004,PEX Complete,342916.11769499996,1.3122505999999999e-14,454.68080000000276,1.0,0.6939145000184762
5,tg_sample_0005,False,True,False,1157.8264248371124,"{'width': [4.0, 8.0], 'length': [0.28, 0.28], 'fingers': [4, 4], 'multipliers': [2, 2], 'substrate_tap': True}",tg_dataset_5_samples/sample_0005,PEX Complete,828984.1705281547,5.717530199999993e-14,1552.9602000000111,0.9997012157813188,0.6889343332816922
