sample_number,runtime_seconds,success,param_width,param_length,param_fingers,param_multipliers,error,verification_drc,verification_lvs,verification_pex
169,7.82012939453125e-05,False,"[5.277735946366866, 2.771664101513236]","[3.642042152822042, 1.5861968949612553]","[3, 3]","[2, 2]",Sample 169 failed: 'nchannel_width',,,
170,7.700920104980469e-05,False,"[6.943258370872159, 15.56405063187729]","[0.8596634369187236, 1.2209664645834166]","[2, 2]","[2, 2]",Sample 170 failed: 'nchannel_width',,,
171,0.0001318454742431,False,"[4.295951249787343, 7.305307043825343]","[3.114159875965752, 1.1615243616073716]","[1, 1]","[1, 1]",Sample 171 failed: 'nchannel_width',,,
172,8.654594421386719e-05,False,"[2.5831323241671997, 7.779028984918057]","[0.5654076508985234, 1.864035221497742]","[1, 1]","[1, 1]",Sample 172 failed: 'nchannel_width',,,
173,8.20159912109375e-05,False,"[11.931683595646446, 11.074766477897867]","[3.936772588154098, 2.03848281162362]","[4, 4]","[2, 2]",Sample 173 failed: 'nchannel_width',,,
174,7.867813110351562e-05,False,"[5.937078031104136, 1.345779083774624]","[2.808250502322358, 3.0273063154357622]","[5, 5]","[1, 1]",Sample 174 failed: 'nchannel_width',,,
175,8.344650268554688e-05,False,"[18.56262399993175, 12.044902382569033]","[0.48392129522656724, 3.7824868716383393]","[2, 2]","[2, 2]",Sample 175 failed: 'nchannel_width',,,
176,7.915496826171875e-05,False,"[2.3289662239914004, 11.291056996151054]","[2.0142577498913945, 2.096669448468152]","[1, 1]","[2, 2]",Sample 176 failed: 'nchannel_width',,,
177,7.82012939453125e-05,False,"[3.007383424008114, 12.145254784044598]","[3.8692544923160286, 0.38516138589451754]","[1, 1]","[2, 2]",Sample 177 failed: 'nchannel_width',,,
178,7.677078247070312e-05,False,"[0.5547573397880412, 2.6960649124127944]","[1.9596019913330007, 2.081263998568154]","[1, 1]","[1, 1]",Sample 178 failed: 'nchannel_width',,,
179,7.987022399902344e-05,False,"[9.878072751796006, 4.409500988001124]","[1.0203388956525852, 0.5699352976096438]","[3, 3]","[2, 2]",Sample 179 failed: 'nchannel_width',,,
180,7.724761962890625e-05,False,"[18.385188353460588, 7.900065319661831]","[0.7534312490636431, 2.7303595235073845]","[2, 2]","[1, 1]",Sample 180 failed: 'nchannel_width',,,
181,0.0001318454742431,False,"[19.95000862373074, 1.6277851819453928]","[2.8058100270352004, 1.4597743404451622]","[1, 1]","[1, 1]",Sample 181 failed: 'nchannel_width',,,
182,8.940696716308594e-05,False,"[1.9524572382973095, 10.148494788402777]","[0.45326321772852995, 0.36048853914707113]","[5, 5]","[2, 2]",Sample 182 failed: 'nchannel_width',,,
183,0.0001027584075927,False,"[11.765626010364851, 7.469681439377431]","[0.33648302848119976, 1.3232690107104335]","[2, 2]","[2, 2]",Sample 183 failed: 'nchannel_width',,,
184,8.034706115722656e-05,False,"[13.944118964095702, 14.892510823145981]","[3.5753348273215892, 3.8325598477820093]","[3, 3]","[1, 1]",Sample 184 failed: 'nchannel_width',,,
185,7.987022399902344e-05,False,"[16.284624095642542, 6.613048022043595]","[1.3744130787893216, 1.739730264563419]","[3, 3]","[2, 2]",Sample 185 failed: 'nchannel_width',,,
186,7.700920104980469e-05,False,"[11.029838081001708, 6.826573138827627]","[1.4231417821479881, 1.5552262635466454]","[5, 5]","[2, 2]",Sample 186 failed: 'nchannel_width',,,
187,7.724761962890625e-05,False,"[6.2029536828082446, 18.58727355436555]","[3.185087937400545, 2.8944469548621807]","[5, 5]","[1, 1]",Sample 187 failed: 'nchannel_width',,,
188,7.700920104980469e-05,False,"[18.851393339091157, 10.752982638644042]","[1.9352382905392564, 3.1660420590113714]","[5, 5]","[1, 1]",Sample 188 failed: 'nchannel_width',,,
189,7.915496826171875e-05,False,"[6.033857921829738, 18.685713318446272]","[0.27159727661506783, 2.1861061321473287]","[2, 2]","[1, 1]",Sample 189 failed: 'nchannel_width',,,
190,7.772445678710938e-05,False,"[17.62775326514965, 10.256787499785057]","[0.36081504117044605, 3.7408801850991384]","[5, 5]","[2, 2]",Sample 190 failed: 'nchannel_width',,,
191,0.000140905380249,False,"[1.1131230909443142, 1.2653307338731463]","[1.2078380501148944, 0.6093395465959582]","[2, 2]","[1, 1]",Sample 191 failed: 'nchannel_width',,,
192,9.107589721679688e-05,False,"[10.355414738630758, 11.711597171272441]","[1.8981248019848815, 1.8048977923766434]","[1, 1]","[2, 2]",Sample 192 failed: 'nchannel_width',,,
193,8.535385131835938e-05,False,"[4.486713626912685, 8.044535444553741]","[0.31859845100677264, 1.1015426680292095]","[1, 1]","[1, 1]",Sample 193 failed: 'nchannel_width',,,
194,8.416175842285156e-05,False,"[12.044955950180302, 11.434680055023748]","[2.209658728186447, 1.6543226379076594]","[2, 2]","[2, 2]",Sample 194 failed: 'nchannel_width',,,
195,8.535385131835938e-05,False,"[9.79963588907337, 4.384132510104767]","[2.695370955278396, 1.0190317878205313]","[4, 4]","[2, 2]",Sample 195 failed: 'nchannel_width',,,
196,9.226799011230467e-05,False,"[16.66020931033397, 11.72041761611199]","[3.298251694466751, 3.661134079254084]","[4, 4]","[1, 1]",Sample 196 failed: 'nchannel_width',,,
197,8.344650268554688e-05,False,"[19.80649667047228, 2.219750232332678]","[0.3653466825929628, 2.992870816981802]","[1, 1]","[1, 1]",Sample 197 failed: 'nchannel_width',,,
198,8.320808410644531e-05,False,"[6.857076681581455, 16.626428442910893]","[0.9350851528669111, 1.8167799976945571]","[1, 1]","[2, 2]",Sample 198 failed: 'nchannel_width',,,
199,8.416175842285156e-05,False,"[17.43403052564955, 4.782384431674664]","[1.4969256806755808, 0.3358302858834118]","[2, 2]","[2, 2]",Sample 199 failed: 'nchannel_width',,,
200,8.392333984375e-05,False,"[17.950644170587797, 13.353864943635777]","[3.2545402210736207, 0.25186924371309094]","[3, 3]","[2, 2]",Sample 200 failed: 'nchannel_width',,,
11,0.1,False,"[15.56987768790995, 19.431313875884364]","[2.2925198967864566, 0.8947369421533957]","[5, 5]","[2, 2]",Skipped due to problematic parameters: Both NMOS (155.7μm) and PMOS (194.3μm) total widths too large,,,
14,1000.0,False,"[13.78077487319354, 14.962677041482275]","[3.0624255664614433, 2.9069709661528274]","[2, 2]","[2, 2]",Timeout after 1000 seconds,,,
18,1000.0,False,"[9.076995261129627, 10.597420054549845]","[1.358619245048224, 3.048885823608301]","[3, 3]","[2, 2]",Timeout after 1000 seconds,,,
19,61.25648856163025,True,"[5.096793200356354, 2.524690900128129]","[0.7263776722224855, 0.7028333600785767]","[3, 3]","[1, 1]",,"{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0019/tg_sample_0019.drc.rpt', 'summary': {'is_pass': True, 'total_errors': 0, 'error_details': []}}","{'status': 'pass', 'is_pass': True, 'report_path': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0019/tg_sample_0019.lvs.rpt', 'summary': {'is_pass': True, 'conclusion': 'LVS Pass: Netlists match.', 'total_mismatches': 0, 'mismatch_details': {'nets': '6                          |Number of nets: 6', 'devices': '4                       |Number of devices: 4', 'unmatched_nets_parsed': [], 'unmatched_instances_parsed': []}}}","{'status': 'PEX Error: bash: run_pex.sh: No such file or directory\n', 'total_resistance_ohms': 0.0, 'total_capacitance_farads': 0.0, 'spice_file': '/home/arnavshukla/OpenFASOC/openfasoc/generators/glayout/glayout/flow/blocks/elementary/LHS/tg_dataset_200_lhs/sample_0019/tg_sample_0019_pex.spice'}"
