,Ivdd (A),Ivdd1v8 (A)
0,1.7097689488888882e-06,8.043444111111116e-07
1,4.6952849056603747e-07,8.698145350404311e-07
2,2.1953983752620554e-06,8.05213953878407e-07
3,1.7704605380116962e-07,8.708637684210535e-07
4,1.8947704142011832e-07,8.782455846153853e-07
5,5.176125454909822e-06,1.2008295290581156e-06
6,6.056833372549022e-06,1.1435829294117643e-06
7,7.168793146282971e-06,1.1806246954436452e-06
8,1.8616963380281693e-07,8.972479659624425e-07
9,1.9700089846517097e-07,8.896408890200696e-07
10,6.099723237791932e-06,1.031980845010616e-06
11,2.121592214437367e-06,7.521099915074315e-07
12,1.3172531361760676e-05,1.0435320467675366e-06
13,1.4695885513392862e-06,7.838549040178574e-07
14,1.6882278941034903e-07,8.736225655836339e-07
15,8.50638135391924e-06,1.0346566270783848e-06
16,1.5478395660377353e-06,6.544859601677154e-07
17,1.0968688364779884e-06,8.965350990566034e-07
18,2.3503609214145396e-06,7.58353481335953e-07
19,1.7699984411276942e-06,9.260336815920399e-07
20,1.777080108527133e-06,8.157314515503881e-07
21,1.7278947532679734e-06,8.734733741830054e-07
22,2.020413770386264e-06,8.440117081545064e-07
23,2.372176764822135e-06,9.672264150197624e-07
24,1.733756027777777e-06,8.247872537037041e-07
25,1.9421891279069777e-06,9.399678720930233e-07
26,1.28775462614679e-06,7.897088417431183e-07
27,1.8586245504424796e-06,7.725756973451328e-07
28,1.725913824999999e-06,8.462603954545454e-07
29,1.8622639552572712e-06,7.613403243847867e-07
30,1.7644820800653592e-06,8.381048267973854e-07
31,1.8796896928446776e-06,8.204448778359508e-07
32,1.6818907482837527e-06,1.7861441487414198e-06
33,0.0051904898421052635,2.742925368421053e-05
34,2.2876261002132195e-06,1.8758064669509597e-06
35,0.004553158548601864,2.1827078828229025e-05
36,1.458841406741573e-06,2.6850648988764045e-06
37,1.7419597727272714e-07,2.7940917224880416e-06
38,1.5623284765258224e-06,2.3853630751173696e-06
39,0.006380675792838872,2.7584009590792853e-05
40,1.8164658026159334e-07,3.11890891795482e-06
41,1.9072489940476191e-06,2.9736153571428533e-06
42,0.0077125697486772555,3.060543796296297e-05
43,0.004545248205804747,2.7946597097625354e-05
44,1.8204997978494616e-06,3.406188731182797e-06
45,0.002639076318607764,4.5076860508701465e-05
46,1.5278399209932283e-06,3.5084169977426593e-06
47,1.7402009658421665e-07,3.4936343816254445e-06
48,1.8983574617021275e-06,1.634657008510638e-06
49,1.7065212561576353e-07,1.5578701194581278e-06
50,0.0029086183660130696,1.4545298692810454e-05
51,0.00276269021276596,1.3044753856382987e-05
52,1.8130967359413184e-07,2.037124374083129e-06
53,0.004936727757255938,2.1686800131926117e-05
54,0.0041577518386243404,1.8526962169312166e-05
55,0.004076308565683648,1.8374232439678278e-05
56,0.008421459893190923,2.748324873164217e-05
57,0.005476313826666663,2.425422733333332e-05
58,0.005388136644562332,2.2224527320954886e-05
59,0.004463335408560315,2.0450990661478604e-05
60,0.009200608850726556,3.570889431968296e-05
61,1.8468509975961547e-07,1.0884803245192312e-05
62,0.0044555641842105274,3.438703578947369e-05
63,0.005117083813229572,2.8686261608300875e-05
