,Ivdd (A),Ivdd1v8 (A)
0,7.974009143171807e-06,1.2083697907488979e-06
1,1.0807418165948266e-05,1.2638106594827591e-06
2,6.809239900311524e-06,1.0310414408099682e-06
3,6.085732124172184e-06,1.0789758360927164e-06
4,2.845014221189591e-06,1.0599297862453525e-06
5,1.267713980848152e-05,1.1602797934336523e-06
6,6.424714644182122e-06,1.0307140303541311e-06
7,1.867317571090048e-07,8.474594857819906e-07
8,1.8240067710843365e-07,9.10579292771085e-07
9,4.5254559495351956e-07,9.61602561752987e-07
10,1.4580516402714927e-06,7.438609253393662e-07
11,6.4629303120567345e-06,1.0673586978723397e-06
12,1.1103031337748338e-05,1.0145343112582775e-06
13,8.125892460240964e-06,1.0806169783132523e-06
14,6.828837199999999e-06,9.285430289156634e-07
15,7.210298476744182e-06,1.1139072732558135e-06
16,1.8611335591506564e-07,8.74595912032356e-07
17,2.0181151800699304e-06,8.354332255244764e-07
18,2.031997888686133e-06,7.183686277372259e-07
19,2.1270456448467993e-06,8.271997493036208e-07
20,2.452505710037175e-06,8.384379944237914e-07
21,1.823457502016129e-06,7.441361754032264e-07
22,1.8983357543103474e-07,8.468664849137932e-07
23,2.1653609795918364e-06,8.674089529042379e-07
24,3.535309264900659e-06,9.155454966887424e-07
25,2.602221066810344e-07,8.575748017241372e-07
26,1.9178378458333373e-06,8.132225749999997e-07
27,2.0111334339360224e-06,8.12124927677329e-07
28,2.897464483065955e-06,8.454236024955439e-07
29,2.052589046204619e-06,7.90790226072607e-07
30,2.17539271012007e-06,8.121616740994853e-07
31,2.2392097874999994e-06,7.751720895833331e-07
32,2.0694633481012656e-06,1.833147362869199e-06
33,0.004685728010752693,2.4698333198924757e-05
34,1.8636607348314602e-06,1.8425889168539328e-06
35,0.005009391046357616,2.133853615894041e-05
36,0.0093126088,3.480209253333332e-05
37,1.6862978896103892e-06,2.6020579220779208e-06
38,0.006473981555851066,2.4722731382978718e-05
39,0.005768450337662337,2.384018168831168e-05
40,1.3338935527426158e-06,3.0742083966244726e-06
41,1.8194936611374415e-07,3.272737061611372e-06
42,1.8972324970273468e-07,3.306100439952444e-06
43,0.005766424289508631,2.9690770916334576e-05
44,1.8590971126760546e-07,3.6269131924882657e-06
45,1.8717354964539e-07,3.641488179669024e-06
46,1.2111782288888895e-06,3.144982577777777e-06
47,0.00800191733688416,4.029558042609857e-05
48,2.304469363453817e-06,1.4197851987951795e-06
49,0.0034835747663551422,1.7512389185580787e-05
50,0.002947631868421053,1.415320868421053e-05
51,0.0026271804862023655,1.2498658475689893e-05
52,1.5605004263392837e-06,1.8807405758928572e-06
53,1.6492509121951224e-06,1.7266975000000002e-06
54,1.9501136133909293e-06,1.7527795615550747e-06
55,0.0037978633039092023,1.797919546027743e-05
56,1.8131212118644065e-06,6.91770398305085e-06
57,0.000912960266387727,1.8044956345885644e-05
58,0.0048082809617612954,2.1218822595596737e-05
59,0.0046175558561643805,1.941270730593607e-05
60,1.8595286903553303e-07,2.754593258883247e-06
61,1.8098654962646732e-07,7.524974685165422e-06
62,0.005632086338535414,3.358833973589437e-05
63,0.005472286622754491,3.189450586826347e-05
