,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-30,0,0,0,6,32.768,1,0.016
1,-30,0,0,1,6,32.768,1,0.016
2,-30,0,0,2,6,32.768,12,0.127
3,-30,0,0,3,6,32.768,0,0.0
4,-30,0,1,0,6,32.768,1,0.016
5,-30,0,1,1,6,32.768,0,0.0
6,-30,0,1,2,6,32.768,0,0.0
7,-30,0,1,3,6,32.768,1,0.028
8,-30,0,2,0,6,32.768,1,0.016
9,-30,0,2,1,6,32.768,0,0.0
10,-30,0,2,2,6,32.768,1,0.016
11,-30,0,2,3,6,32.768,1,0.016
12,-30,0,3,0,6,32.768,1,0.016
13,-30,0,3,1,6,32.768,0,0.0
14,-30,0,3,2,6,32.768,1,0.016
15,-30,0,3,3,6,32.768,1,0.016
16,-30,0,4,0,7,32.768,60,0.361
17,-30,0,4,1,7,32.768,0,0.0035
18,-30,0,4,2,7,32.768,5,0.052000000000000005
19,-30,0,4,3,7,32.768,6,0.0645
20,-30,0,5,0,7,32.768,0,0.0005
21,-30,0,5,1,7,32.768,13,0.11850000000000001
22,-30,0,5,2,7,32.768,18,0.184
23,-30,0,5,3,7,32.768,14,0.113
24,-30,0,6,0,7,32.768,96,0.753
25,-30,0,6,1,7,32.768,0,0.0
26,-30,0,6,2,7,32.768,17,0.178
27,-30,0,6,3,7,32.768,7,0.062
28,-30,0,7,0,7,32.768,0,0.001
29,-30,0,7,1,7,32.768,9,0.0815
30,-30,0,7,2,7,32.768,8,0.0275
31,-30,0,7,3,7,32.768,11,0.083
32,-30,1,0,0,0,32.768,0,0.0
33,-30,1,0,1,0,32.768,1,1.024
34,-30,1,0,2,0,32.768,4557,4654.976
35,-30,1,0,3,0,32.768,3809,3889.152
36,-30,1,1,0,0,32.768,1,1.024
37,-30,1,1,1,0,32.768,1,1.024
38,-30,1,1,2,0,32.768,5511,5625.856
39,-30,1,1,3,0,32.768,0,0.0
40,-30,1,2,0,0,32.768,0,0.0
41,-30,1,2,1,0,32.768,1,1.024
42,-30,1,2,2,0,32.768,6868,7020.8
43,-30,1,2,3,0,32.768,7203,7357.888
44,-30,1,3,0,0,32.768,1,1.024
45,-30,1,3,1,0,32.768,1,1.024
46,-30,1,3,2,0,32.768,3,5.248
47,-30,1,3,3,0,32.768,8777,8972.864
48,-30,1,4,0,0,32.768,2392,2457.664
49,-30,1,4,1,0,32.768,2616,2672.896
50,-30,1,4,2,0,32.768,2570,2628.352
51,-30,1,4,3,0,32.768,1561,1603.904
52,-30,1,5,0,0,32.768,0,0.0
53,-30,1,5,1,0,32.768,0,0.0
54,-30,1,5,2,0,32.768,3149,3232.32
55,-30,1,5,3,0,32.768,2164,2220.864
56,-30,1,6,0,0,32.768,0,0.0
57,-30,1,6,1,0,32.768,1,1.024
58,-30,1,6,2,0,32.768,3840,3943.4880000000003
59,-30,1,6,3,0,32.768,2985,3052.928
60,-30,1,7,0,0,32.768,1,1.024
61,-30,1,7,1,0,32.768,4884,5003.136
62,-30,1,7,2,0,32.768,4244,4340.352
63,-30,1,7,3,0,32.768,3431,3521.024
