Temp,Frequency,Power,Error,inv,header
1.00E+02,6.90E+06,3.82E-08,-0.265307023,4.00E+00,9.00E+00
-2.00E+01,1.47E+04,7.38E-11,0.000227469,6.00E+00,1.00E+00
0,4.51E+04,2.41E-10,0,6.00E+00,1.00E+00
2.00E+01,1.20E+05,6.75E-10,-0.070121991,6.00E+00,1.00E+00
4.00E+01,2.80E+05,1.67E-09,-0.110252471,6.00E+00,1.00E+00
6.00E+01,5.89E+05,3.71E-09,-0.088897249,6.00E+00,1.00E+00
8.00E+01,1.13E+06,7.58E-09,1.42E-14,6.00E+00,1.00E+00
1.00E+02,2.02E+06,1.44E-08,0.163641725,6.00E+00,1.00E+00
-2.00E+01,2.28E+04,1.25E-10,0.025137092,6.00E+00,3.00E+00
0,7.08E+04,4.02E-10,0,6.00E+00,3.00E+00
2.00E+01,1.89E+05,1.11E-09,-0.04668685,6.00E+00,3.00E+00
4.00E+01,4.42E+05,2.73E-09,-0.065229627,6.00E+00,3.00E+00
6.00E+01,9.34E+05,6.01E-09,-0.037156112,6.00E+00,3.00E+00
8.00E+01,1.81E+06,1.21E-08,-1.42E-14,6.00E+00,3.00E+00
1.00E+02,3.26E+06,2.28E-08,0.075998061,6.00E+00,3.00E+00
-2.00E+01,2.81E+04,1.60E-10,0.030330144,6.00E+00,5.00E+00
0,8.72E+04,5.11E-10,0,6.00E+00,5.00E+00
2.00E+01,2.33E+05,1.41E-09,-0.037982179,6.00E+00,5.00E+00
4.00E+01,5.46E+05,3.44E-09,-0.044408756,6.00E+00,5.00E+00
6.00E+01,1.15E+06,7.56E-09,-0.021731732,6.00E+00,5.00E+00
8.00E+01,2.24E+06,1.52E-08,0,6.00E+00,5.00E+00
1.00E+02,4.05E+06,2.84E-08,0.053642803,6.00E+00,5.00E+00
-2.00E+01,3.22E+04,1.88E-10,0.03125657,6.00E+00,7.00E+00
0,1.00E+05,5.99E-10,0,6.00E+00,7.00E+00
2.00E+01,2.67E+05,1.65E-09,-0.031256129,6.00E+00,7.00E+00
4.00E+01,6.27E+05,4.02E-09,-0.030103128,6.00E+00,7.00E+00
6.00E+01,1.33E+06,8.80E-09,-0.011436805,6.00E+00,7.00E+00
8.00E+01,2.58E+06,1.77E-08,1.42E-14,6.00E+00,7.00E+00
1.00E+02,4.66E+06,3.30E-08,0.032337174,6.00E+00,7.00E+00
-2.00E+01,3.57E+04,2.12E-10,0.028606558,6.00E+00,9.00E+00
0,1.11E+05,6.75E-10,0,6.00E+00,9.00E+00
2.00E+01,2.96E+05,1.86E-09,-0.029785664,6.00E+00,9.00E+00
4.00E+01,6.95E+05,4.51E-09,-0.027094997,6.00E+00,9.00E+00
6.00E+01,1.47E+06,9.87E-09,-0.003283107,6.00E+00,9.00E+00
8.00E+01,2.86E+06,1.98E-08,0,6.00E+00,9.00E+00
1.00E+02,5.18E+06,3.68E-08,0.022774405,6.00E+00,9.00E+00
-2.00E+01,1.22E+04,7.20E-11,0.061175176,8.00E+00,1.00E+00
0,3.74E+04,2.36E-10,0,8.00E+00,1.00E+00
2.00E+01,9.92E+04,6.64E-10,-0.100212291,8.00E+00,1.00E+00
4.00E+01,2.31E+05,1.65E-09,-0.163159454,8.00E+00,1.00E+00
6.00E+01,4.83E+05,3.68E-09,-0.134036932,8.00E+00,1.00E+00
8.00E+01,9.22E+05,7.56E-09,1.42E-14,8.00E+00,1.00E+00
1.00E+02,1.63E+06,1.44E-08,0.264691267,8.00E+00,1.00E+00
-2.00E+01,1.90E+04,1.21E-10,0.080027856,8.00E+00,3.00E+00
0,5.90E+04,3.92E-10,0,8.00E+00,3.00E+00
2.00E+01,1.57E+05,1.09E-09,-0.088658752,8.00E+00,3.00E+00
4.00E+01,3.67E+05,2.67E-09,-0.12655996,8.00E+00,3.00E+00
6.00E+01,7.70E+05,5.90E-09,-0.095698115,8.00E+00,3.00E+00
8.00E+01,1.48E+06,1.20E-08,0,8.00E+00,3.00E+00
1.00E+02,2.63E+06,2.25E-08,0.189635408,8.00E+00,3.00E+00
-2.00E+01,2.34E+04,1.55E-10,0.085053334,8.00E+00,5.00E+00
0,7.28E+04,4.97E-10,0,8.00E+00,5.00E+00
2.00E+01,1.94E+05,1.38E-09,-0.085180482,8.00E+00,5.00E+00
4.00E+01,4.53E+05,3.36E-09,-0.11919568,8.00E+00,5.00E+00
6.00E+01,9.53E+05,7.40E-09,-0.093548604,8.00E+00,5.00E+00
8.00E+01,1.83E+06,1.49E-08,1.42E-14,8.00E+00,5.00E+00
1.00E+02,3.27E+06,2.80E-08,0.172629585,8.00E+00,5.00E+00
-2.00E+01,2.69E+04,1.83E-10,0.093356471,8.00E+00,7.00E+00
0,8.37E+04,5.83E-10,0,8.00E+00,7.00E+00
2.00E+01,2.23E+05,1.61E-09,-0.078617812,8.00E+00,7.00E+00
4.00E+01,5.21E+05,3.92E-09,-0.110796952,8.00E+00,7.00E+00
