,CTR1,CTR2,FreqRef (kHz),Res1 (kHz),Res2 (kHz)
0,6,5,32.768,0.039688708721751086,0.04901748259549852
1,6,5,32.768,0.0,0.0
2,6,5,32.768,0.05719860138150233,0.07909309957259231
3,6,5,32.768,0.005670414446934193,0.0096
4,6,5,32.768,0.0,0.0
5,6,5,32.768,0.02656385514190288,0.04017752605624195
6,6,5,32.768,0.007103351321735397,0.013255881713413109
7,6,5,32.768,0.019159290174742907,0.033761137421597635
8,6,5,32.768,0.5123362895598944,0.7604053824112503
9,6,5,32.768,0.0,0.0
10,6,5,32.768,0.0,0.0
11,6,5,32.768,0.01898277113595378,0.03576420556925597
12,6,5,32.768,0.0444382537910751,0.07189325420371512
13,6,5,32.768,0.0,0.0
14,6,5,32.768,0.028197702034031068,0.046500305375341354
15,6,5,32.768,0.024148341557962114,0.03879661840934078
16,7,5,32.768,0.01206276916798129,0.02574956310308973
17,7,5,32.768,0.0071959988882711766,0.019398969044771425
18,7,5,32.768,0.003996798718974974,0.01655052869246176
19,7,5,32.768,0.00432,0.015712619132404373
20,7,5,32.768,0.020407841630118558,0.049212421196279305
21,7,5,32.768,0.0,0.0
22,7,5,32.768,0.0038023150842611663,0.015754923040116702
23,7,5,32.768,0.07488012820501845,0.15300250455466408
24,7,5,32.768,0.0,0.0
25,7,5,32.768,0.0050412696813402075,0.01686919085196442
26,7,5,32.768,0.002932848444771738,0.011731393779086953
27,7,5,32.768,0.006700925309239015,0.019398969044771428
28,7,5,32.768,0.08935881825539102,0.22229545744346643
29,7,5,32.768,0.004644825077438332,0.014396444005378548
30,7,5,32.768,0.010380289013317499,0.02523540370194224
31,7,5,32.768,0.012799999999999999,0.02978579527224345
32,0,5,32.768,0.0,0.0
33,0,5,32.768,0.0,0.0
34,0,5,32.768,26.949213260976656,22.26808392238542
35,0,5,32.768,0.0,0.0
36,0,5,32.768,0.0,0.0
37,0,5,32.768,0.0,0.0
38,0,5,32.768,0.0,0.0
39,0,5,32.768,0.0,0.0
40,0,5,32.768,71.42721139733791,56.30190372818312
41,0,5,32.768,0.0,0.0
42,0,5,32.768,0.0,0.0
43,0,5,32.768,44.723134058337195,36.238329404673166
44,0,5,32.768,0.0,0.0
45,0,5,32.768,0.0,0.0
46,0,5,32.768,0.0,0.0
47,0,5,32.768,61.091784217205515,49.4218517370606
48,0,5,32.768,23.635783358086524,19.885415012053436
49,0,5,32.768,18.175189435447436,15.329692349163437
50,0,5,32.768,51.491276679826065,28.544645149659857
51,0,5,32.768,13.535405377010326,11.613740963806622
52,0,5,32.768,0.0,0.0
53,0,5,32.768,0.0,0.0
54,0,5,32.768,0.0,0.008844975975094562
55,0,5,32.768,20.91386825625523,18.122641394057325
56,0,5,32.768,0.0,0.0
57,0,5,32.768,33.52786798504194,27.37049221227854
58,0,5,32.768,0.0,0.0
59,0,5,32.768,28.35178260142385,23.37029611122632
60,0,5,32.768,54.507829719202725,46.116945938776134
61,0,5,32.768,43.90022954771877,38.193712003187116
62,0,5,32.768,35.35318290847374,30.479613093187385
63,0,5,32.768,30.58123325178368,25.818929988549097
