sample_id,component_name,success,drc_pass,lvs_pass,execution_time,parameters,output_directory,pex_status,total_resistance_ohms,total_capacitance_farads,area_um2,symmetry_horizontal,symmetry_vertical
552,diff_pair_sample_0552,True,True,True,5.505034446716309,"{'width': 1.4988602992801252, 'length': 0.2679828781194432, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0552,PEX Complete,153788.60092849957,4.430182499999998e-14,568.5603000000034,1.0,0.955624759590144
553,diff_pair_sample_0553,True,True,True,7.524693965911865,"{'width': 2.6976681017404096, 'length': 1.5942326704335807, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0553,PEX Complete,224766.80647109973,5.534370499999998e-14,1087.8586999999936,1.0,0.9659632266580207
554,diff_pair_sample_0554,False,True,False,12.457574367523193,"{'width': 9.447079871520813, 'length': 1.2464156994599431, 'fingers': 4, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0554,PEX Complete,313248.21737170586,2.93813622000005e-13,2989.8936999999064,1.0,0.9851600075280263
555,diff_pair_sample_0555,False,True,False,12.176426649093628,"{'width': 4.4758483969207035, 'length': 3.0520602918503115, 'fingers': 5, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0555,PEX Complete,347025.3763590084,2.6235051100000523e-13,3696.1579999999044,1.0,0.9762831567265245
556,diff_pair_sample_0556,True,True,True,18.683234691619873,"{'width': 19.261665394522073, 'length': 0.40362345484427486, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0556,PEX Complete,359618.1256817972,2.1813404500000005e-13,3063.460499999851,1.0,0.9911280723221333
557,diff_pair_sample_0557,False,True,False,12.569651126861572,"{'width': 12.864953590968659, 'length': 0.8474212955487272, 'fingers': 1, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0557,PEX Complete,320104.7626574033,1.8152390799999654e-13,1859.5476999999928,1.0,0.9865070414703532
558,diff_pair_sample_0558,True,True,True,21.36873197555542,"{'width': 15.840207770923392, 'length': 2.2652121575272903, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0558,PEX Complete,523041.8944960017,3.221488310000004e-13,7528.569700000647,1.0,0.9905472084558115
559,diff_pair_sample_0559,True,True,True,15.325253963470459,"{'width': 10.29183836022873, 'length': 0.35791981044472243, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0559,PEX Complete,286414.6624487967,1.8739781900000009e-13,2252.804599999996,1.0,0.9861127769359135
560,diff_pair_sample_0560,False,True,False,14.009315729141235,"{'width': 9.120401485017066, 'length': 0.2892740728449447, 'fingers': 5, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0560,PEX Complete,205195.03624119863,2.5518266699999915e-13,1947.932900000003,1.0,0.9846896163620421
561,diff_pair_sample_0561,True,True,True,19.513967752456665,"{'width': 14.597812589713353, 'length': 2.446927443061575, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0561,PEX Complete,527526.8202089999,3.1467725499999864e-13,7405.945100000563,1.0,0.9898832088290805
562,diff_pair_sample_0562,False,True,False,19.32822823524475,"{'width': 13.815980932746655, 'length': 0.3720672377427605, 'fingers': 5, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0562,PEX Complete,252927.2802917982,3.56001058000006e-13,2894.5807999998347,1.0,0.9890475332386638
563,diff_pair_sample_0563,False,True,False,23.16497230529785,"{'width': 18.29457879989097, 'length': 0.7220411600139148, 'fingers': 5, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0563,PEX Complete,473737.93141981104,3.55480669000003e-13,4562.785899999907,1.0,0.9914502234259993
564,diff_pair_sample_0564,True,True,True,7.094321966171265,"{'width': 5.770408366718297, 'length': 0.9056990404304899, 'fingers': 1, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0564,PEX Complete,213961.5487284001,5.269029699999987e-14,1063.3990999999962,1.0,0.9760123927131403
565,diff_pair_sample_0565,True,True,True,12.496723890304565,"{'width': 5.465429227038917, 'length': 1.7926836879326202, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0565,PEX Complete,368149.7001908036,1.6283974900000036e-13,2893.444999999935,1.0,0.9787960718105921
566,diff_pair_sample_0566,False,True,False,10.30265188217163,"{'width': 9.92500626265007, 'length': 1.541312017388807, 'fingers': 1, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0566,PEX Complete,279008.65800300136,1.742819150000061e-13,1877.5200999999934,1.0,0.9840412893582338
567,diff_pair_sample_0567,True,True,True,15.17208743095398,"{'width': 11.787302009891256, 'length': 3.1086654462772056, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0567,PEX Complete,442045.1557220006,2.0172687899999998e-13,5227.312500000059,1.0,0.9876106890491052
568,diff_pair_sample_0568,False,True,False,14.390879154205322,"{'width': 13.294419472485988, 'length': 1.6337080241153492, 'fingers': 2, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0568,PEX Complete,352756.15875610587,2.7752161200000394e-13,3130.625699999929,1.0,0.9880391961261926
569,diff_pair_sample_0569,False,True,False,7.384697437286377,"{'width': 3.550003570403427, 'length': 2.4013414493552556, 'fingers': 3, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0569,PEX Complete,201329.3345769986,2.0551486899999475e-13,1953.4856999999943,1.0,0.9718355757608054
570,diff_pair_sample_0570,True,True,True,10.029781341552734,"{'width': 6.5877762924923005, 'length': 3.7611454344109942, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0570,PEX Complete,385844.7788177033,1.230358149999994e-13,3066.6090999999647,1.0,0.9805381129274022
571,diff_pair_sample_0571,True,True,True,7.3070290088653564,"{'width': 2.337838841636758, 'length': 1.9770657022681493, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0571,PEX Complete,231401.733982699,5.834257900000004e-14,1143.0600999999917,1.0,0.9641362689503375
572,diff_pair_sample_0572,False,True,False,17.534522533416748,"{'width': 19.76348536585111, 'length': 1.251910145261999, 'fingers': 2, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0572,PEX Complete,289559.05347810086,2.269167790000062e-13,3853.4498999998164,1.0,0.9913123043328002
573,diff_pair_sample_0573,False,True,False,6.950082302093506,"{'width': 1.1996527850212346, 'length': 1.7342289161796514, 'fingers': 2, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0573,PEX Complete,137294.51639909885,1.0459092199999834e-13,843.110299999999,1.0,0.9543490335724756
574,diff_pair_sample_0574,False,True,False,18.62642216682434,"{'width': 18.616054441553608, 'length': 0.7600081392665032, 'fingers': 3, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0574,PEX Complete,282608.5820808006,2.6862632500000655e-13,3594.2726999997703,1.0,0.9910440852192428
575,diff_pair_sample_0575,True,True,True,13.084576845169067,"{'width': 8.81467804433076, 'length': 3.0719510169859916, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0575,PEX Complete,441491.7062520048,1.721386690000006e-13,4149.904999999903,1.0,0.9844947775912939
576,diff_pair_sample_0576,True,True,True,11.448703050613403,"{'width': 9.901774322459149, 'length': 3.4291753251101733, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0576,PEX Complete,413263.22128570126,1.4201700899999956e-13,3866.7430999999056,1.0,0.9854832869553705
577,diff_pair_sample_0577,True,True,True,9.058969736099243,"{'width': 5.373958968309471, 'length': 0.5154216259667165, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0577,PEX Complete,227640.96090279988,7.449212899999969e-14,1227.5641999999957,1.0,0.9766122211775156
578,diff_pair_sample_0578,True,True,True,13.418968439102173,"{'width': 7.774216733189531, 'length': 3.063022252139599, 'fingers': 4, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0578,PEX Complete,459911.8049007034,1.977512019999998e-13,4558.095899999925,1.0,0.9833180341817729
579,diff_pair_sample_0579,True,True,True,16.57090139389038,"{'width': 10.921094589734832, 'length': 2.062165557130535, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0579,PEX Complete,452077.78534500214,2.4675270000000053e-13,5230.093500000082,1.0,0.9871914335757097
580,diff_pair_sample_0580,True,True,True,18.230403661727905,"{'width': 15.369439902853312, 'length': 3.085037610031681, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0580,PEX Complete,536157.9214410099,2.364926529999985e-13,6465.724100000369,1.0,0.9900267318860704
