,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-40,0,0,0,6,32.768,0,0.025
1,-40,0,0,1,6,32.768,21,0.368
2,-40,0,0,2,6,32.768,0,0.013000000000000001
3,-40,0,0,3,6,32.768,0,0.0
4,-40,0,1,0,6,32.768,1,0.016
5,-40,0,1,1,6,32.768,1,0.016
6,-40,0,1,2,6,32.768,23,0.316
7,-40,0,1,3,6,32.768,0,0.0
8,-40,0,2,0,6,32.768,0,0.0
9,-40,0,2,1,6,32.768,0,0.013000000000000001
10,-40,0,2,2,6,32.768,1,0.016
11,-40,0,2,3,6,32.768,0,0.0
12,-40,0,3,0,6,32.768,18,0.299
13,-40,0,3,1,6,32.768,23,0.338
14,-40,0,3,2,6,32.768,2,0.019
15,-40,0,3,3,6,32.768,20,0.332
16,-40,0,4,0,7,32.768,0,0.0
17,-40,0,4,1,7,32.768,1,0.008
18,-40,0,4,2,7,32.768,1,0.008
19,-40,0,4,3,7,32.768,2,0.033
20,-40,0,5,0,7,32.768,12,0.0685
21,-40,0,5,1,7,32.768,1,0.008
22,-40,0,5,2,7,32.768,0,0.0
23,-40,0,5,3,7,32.768,7,0.051500000000000004
24,-40,0,6,0,7,32.768,21,0.179
25,-40,0,6,1,7,32.768,0,0.0
26,-40,0,6,2,7,32.768,13,0.032
27,-40,0,6,3,7,32.768,2,0.021
28,-40,0,7,0,7,32.768,1,0.008
29,-40,0,7,1,7,32.768,7,0.044
30,-40,0,7,2,7,32.768,81,0.6105
31,-40,0,7,3,7,32.768,8,0.0445
32,-40,1,0,0,0,32.768,1,1.024
33,-40,1,0,1,0,32.768,1,1.024
34,-40,1,0,2,0,32.768,1,1.024
35,-40,1,0,3,0,32.768,1,1.024
36,-40,1,1,0,0,32.768,2473,2549.76
37,-40,1,1,1,0,32.768,226,234.43200000000002
38,-40,1,1,2,0,32.768,0,0.0
39,-40,1,1,3,0,32.768,1653,1696.64
40,-40,1,2,0,0,32.768,1,1.344
41,-40,1,2,1,0,32.768,0,0.0
42,-40,1,2,2,0,32.768,0,0.0
43,-40,1,2,3,0,32.768,2285,2332.8
44,-40,1,3,0,0,32.768,0,0.0
45,-40,1,3,1,0,32.768,0,0.0
46,-40,1,3,2,0,32.768,1,1.024
47,-40,1,3,3,0,32.768,3026,3106.688
48,-40,1,4,0,0,32.768,1,1.024
49,-40,1,4,1,0,32.768,841,858.496
50,-40,1,4,2,0,32.768,726,747.456
51,-40,1,4,3,0,32.768,627,639.552
52,-40,1,5,0,0,32.768,1,1.024
53,-40,1,5,1,0,32.768,967,991.36
54,-40,1,5,2,0,32.768,0,0.0
55,-40,1,5,3,0,32.768,0,0.0
56,-40,1,6,0,0,32.768,1,1.024
57,-40,1,6,1,0,32.768,1423,1460.096
58,-40,1,6,2,0,32.768,1253,1279.488
59,-40,1,6,3,0,32.768,1059,1086.464
60,-40,1,7,0,0,32.768,0,0.0
61,-40,1,7,1,0,32.768,1739,1783.104
62,-40,1,7,2,0,32.768,1606,1647.68
63,-40,1,7,3,0,32.768,1470,1505.152
