,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,100,0,0,0,6,32.768,0,0.0
1,100,0,0,1,6,32.768,33690,539.568
2,100,0,0,2,6,32.768,22353,357.51
3,100,0,0,3,6,32.768,22514,360.736
4,100,0,1,0,6,32.768,49892,797.118
5,100,0,1,1,6,32.768,0,0.0
6,100,0,1,2,6,32.768,31363,501.78000000000003
7,100,0,1,3,6,32.768,30422,486.195
8,100,0,2,0,6,32.768,0,0.0
9,100,0,2,1,6,32.768,45130,721.052
10,100,0,2,2,6,32.768,31757,508.656
11,100,0,2,3,6,32.768,35098,561.456
12,100,0,3,0,6,32.768,3109,48.207
13,100,0,3,1,6,32.768,52665,842.719
14,100,0,3,2,6,32.768,41574,664.73
15,100,0,3,3,6,32.768,37761,603.734
16,100,0,4,0,7,32.768,0,0.0
17,100,0,4,1,7,32.768,1,0.008
18,100,0,4,2,7,32.768,13036,104.267
19,100,0,4,3,7,32.768,12502,100.0445
20,100,0,5,0,7,32.768,1,0.008
21,100,0,5,1,7,32.768,15362,122.462
22,100,0,5,2,7,32.768,15173,121.378
23,100,0,5,3,7,32.768,12293,98.291
24,100,0,6,0,7,32.768,26747,213.9395
25,100,0,6,1,7,32.768,0,0.0
26,100,0,6,2,7,32.768,15287,122.227
27,100,0,6,3,7,32.768,15091,120.7275
28,100,0,7,0,7,32.768,26859,214.976
29,100,0,7,1,7,32.768,24359,194.8725
30,100,0,7,2,7,32.768,18000,144.029
31,100,0,7,3,7,32.768,17706,141.714
32,100,1,0,0,0,32.768,1,1.024
33,100,1,0,1,0,32.768,47015,48067.968
34,100,1,0,2,0,32.768,39600,40648.96
35,100,1,0,3,0,32.768,38113,38926.336
36,100,1,1,0,0,32.768,83478,85693.82400000001
37,100,1,1,1,0,32.768,72391,74123.712
38,100,1,1,2,0,32.768,56599,58094.016
39,100,1,1,3,0,32.768,52275,53594.304000000004
40,100,1,2,0,0,32.768,1,1.024
41,100,1,2,1,0,32.768,3,1.792
42,100,1,2,2,0,32.768,74518,76372.544
43,100,1,2,3,0,32.768,65648,67019.456
44,100,1,3,0,0,32.768,1,1.024
45,100,1,3,1,0,32.768,1,1.024
46,100,1,3,2,0,32.768,90894,92854.464
47,100,1,3,3,0,32.768,78298,80445.504
48,100,1,4,0,0,32.768,1,1.024
49,100,1,4,1,0,32.768,36065,36810.24
50,100,1,4,2,0,32.768,31017,31681.152000000002
51,100,1,4,3,0,32.768,26421,27005.248
52,100,1,5,0,0,32.768,60494,62046.976
53,100,1,5,1,0,32.768,46679,47681.664000000004
54,100,1,5,2,0,32.768,42127,43261.696
55,100,1,5,3,0,32.768,35582,36491.584
56,100,1,6,0,0,32.768,80557,82534.848
57,100,1,6,1,0,32.768,64951,66604.60800000001
58,100,1,6,2,0,32.768,53920,55301.12
59,100,1,6,3,0,32.768,45492,46621.952
60,100,1,7,0,0,32.768,1,1.024
61,100,1,7,1,0,32.768,5792,4360.064
62,100,1,7,2,0,32.768,64570,66272.576
63,100,1,7,3,0,32.768,55720,56978.752
