,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-20,0,0,0,6,32.768,0,0.0
1,-20,0,0,1,6,32.768,0,0.0
2,-20,0,0,2,6,32.768,44,0.749
3,-20,0,0,3,6,32.768,0,0.0
4,-20,0,1,0,6,32.768,1,0.016
5,-20,0,1,1,6,32.768,0,0.0
6,-20,0,1,2,6,32.768,67,1.082
7,-20,0,1,3,6,32.768,1,0.016
8,-20,0,2,0,6,32.768,0,0.0
9,-20,0,2,1,6,32.768,24,0.511
10,-20,0,2,2,6,32.768,66,1.063
11,-20,0,2,3,6,32.768,320,4.424
12,-20,0,3,0,6,32.768,0,0.0
13,-20,0,3,1,6,32.768,0,0.0
14,-20,0,3,2,6,32.768,106,1.67
15,-20,0,3,3,6,32.768,136,2.424
16,-20,0,4,0,7,32.768,0,0.0
17,-20,0,4,1,7,32.768,1,0.008
18,-20,0,4,2,7,32.768,11,0.107
19,-20,0,4,3,7,32.768,0,0.0
20,-20,0,5,0,7,32.768,0,0.25
21,-20,0,5,1,7,32.768,0,0.0
22,-20,0,5,2,7,32.768,61,0.3275
23,-20,0,5,3,7,32.768,48,0.3225
24,-20,0,6,0,7,32.768,0,0.0
25,-20,0,6,1,7,32.768,0,0.0
26,-20,0,6,2,7,32.768,10,0.08
27,-20,0,6,3,7,32.768,12,0.0985
28,-20,0,7,0,7,32.768,1,0.008
29,-20,0,7,1,7,32.768,20,0.164
30,-20,0,7,2,7,32.768,17,0.184
31,-20,0,7,3,7,32.768,30,0.271
32,-20,1,0,0,0,32.768,1,1.024
33,-20,1,0,1,0,32.768,0,0.0
34,-20,1,0,2,0,32.768,3100,3169.216
35,-20,1,0,3,0,32.768,1,1.024
36,-20,1,1,0,0,32.768,0,0.0
37,-20,1,1,1,0,32.768,0,0.0
38,-20,1,1,2,0,32.768,0,0.0
39,-20,1,1,3,0,32.768,4243,4343.936
40,-20,1,2,0,0,32.768,1,1.024
41,-20,1,2,1,0,32.768,1,1.024
42,-20,1,2,2,0,32.768,1,1.024
43,-20,1,2,3,0,32.768,5779,5912.96
44,-20,1,3,0,0,32.768,1,1.024
45,-20,1,3,1,0,32.768,1,1.024
46,-20,1,3,2,0,32.768,0,0.0
47,-20,1,3,3,0,32.768,7260,7462.336
48,-20,1,4,0,0,32.768,1,1.024
49,-20,1,4,1,0,32.768,820,861.056
50,-20,1,4,2,0,32.768,1814,1849.472
51,-20,1,4,3,0,32.768,1533,1567.616
52,-20,1,5,0,0,32.768,3394,3480.832
53,-20,1,5,1,0,32.768,2635,2706.4320000000002
54,-20,1,5,2,0,32.768,2747,2817.472
55,-20,1,5,3,0,32.768,2053,2096.448
56,-20,1,6,0,0,32.768,5291,5411.2
57,-20,1,6,1,0,32.768,3848,3947.712
58,-20,1,6,2,0,32.768,3400,3486.272
59,-20,1,6,3,0,32.768,1,1.024
60,-20,1,7,0,0,32.768,1,1.024
61,-20,1,7,1,0,32.768,4544,4661.312
62,-20,1,7,2,0,32.768,4506,4609.728
63,-20,1,7,3,0,32.768,3738,3834.88
