,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-30,0,0,0,6,32.768,0,0.002
1,-30,0,0,1,6,32.768,1,0.022
2,-30,0,0,2,6,32.768,7,0.063
3,-30,0,0,3,6,32.768,0,0.0
4,-30,0,1,0,6,32.768,63,0.9460000000000001
5,-30,0,1,1,6,32.768,0,0.0
6,-30,0,1,2,6,32.768,0,0.0
7,-30,0,1,3,6,32.768,42,0.798
8,-30,0,2,0,6,32.768,1,0.016
9,-30,0,2,1,6,32.768,0,0.0
10,-30,0,2,2,6,32.768,71,1.1460000000000001
11,-30,0,2,3,6,32.768,0,0.0
12,-30,0,3,0,6,32.768,0,0.0
13,-30,0,3,1,6,32.768,75,1.194
14,-30,0,3,2,6,32.768,0,0.0
15,-30,0,3,3,6,32.768,0,0.0
16,-30,0,4,0,7,32.768,0,0.0
17,-30,0,4,1,7,32.768,8,0.067
18,-30,0,4,2,7,32.768,13,0.0805
19,-30,0,4,3,7,32.768,0,0.0
20,-30,0,5,0,7,32.768,14,0.091
21,-30,0,5,1,7,32.768,1,0.008
22,-30,0,5,2,7,32.768,1,0.0185
23,-30,0,5,3,7,32.768,51,0.433
24,-30,0,6,0,7,32.768,14,0.1095
25,-30,0,6,1,7,32.768,13,0.1265
26,-30,0,6,2,7,32.768,1,0.008
27,-30,0,6,3,7,32.768,1,0.0085
28,-30,0,7,0,7,32.768,1,0.3435
29,-30,0,7,1,7,32.768,15,0.132
30,-30,0,7,2,7,32.768,0,0.0155
31,-30,0,7,3,7,32.768,44,0.3535
32,-30,1,0,0,0,32.768,4655,4777.216
33,-30,1,0,1,0,32.768,4833,4934.336
34,-30,1,0,2,0,32.768,1,1.024
35,-30,1,0,3,0,32.768,1,1.024
36,-30,1,1,0,0,32.768,1,1.024
37,-30,1,1,1,0,32.768,1,1.024
38,-30,1,1,2,0,32.768,1,1.024
39,-30,1,1,3,0,32.768,6680,6824.128
40,-30,1,2,0,0,32.768,1,1.024
41,-30,1,2,1,0,32.768,1,2.24
42,-30,1,2,2,0,32.768,1,1.024
43,-30,1,2,3,0,32.768,1,1.024
44,-30,1,3,0,0,32.768,1,1.024
45,-30,1,3,1,0,32.768,0,0.0
46,-30,1,3,2,0,32.768,28,20.032
47,-30,1,3,3,0,32.768,0,0.0
48,-30,1,4,0,0,32.768,1,1.024
49,-30,1,4,1,0,32.768,1,1.024
50,-30,1,4,2,0,32.768,2158,2209.216
51,-30,1,4,3,0,32.768,1763,1804.928
52,-30,1,5,0,0,32.768,0,0.0
53,-30,1,5,1,0,32.768,3830,3927.6800000000003
54,-30,1,5,2,0,32.768,1,1.024
55,-30,1,5,3,0,32.768,2326,2385.216
56,-30,1,6,0,0,32.768,1,1.024
57,-30,1,6,1,0,32.768,4536,4634.112
58,-30,1,6,2,0,32.768,3607,3697.088
59,-30,1,6,3,0,32.768,3243,3328.32
60,-30,1,7,0,0,32.768,1,1.024
61,-30,1,7,1,0,32.768,5600,5722.624
62,-30,1,7,2,0,32.768,4941,5047.168
63,-30,1,7,3,0,32.768,3700,3794.4320000000002
