,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,120,0,0,0,6,32.768,72169,1156.314
1,120,0,0,1,6,32.768,63542,1015.73
2,120,0,0,2,6,32.768,49748,796.813
3,120,0,0,3,6,32.768,1,0.017
4,120,0,1,0,6,32.768,91464,1465.0330000000001
5,120,0,1,1,6,32.768,84105,1345.425
6,120,0,1,2,6,32.768,63221,1011.993
7,120,0,1,3,6,32.768,54145,863.191
8,120,0,2,0,6,32.768,1,0.016
9,120,0,2,1,6,32.768,77004,1231.412
10,120,0,2,2,6,32.768,77666,1240.858
11,120,0,2,3,6,32.768,59034,943.6370000000001
12,120,0,3,0,6,32.768,110089,1760.559
13,120,0,3,1,6,32.768,0,0.0
14,120,0,3,2,6,32.768,75813,1211.845
15,120,0,3,3,6,32.768,59366,949.019
16,120,0,4,0,7,32.768,39765,318.223
17,120,0,4,1,7,32.768,33906,271.1175
18,120,0,4,2,7,32.768,29630,237.97650000000002
19,120,0,4,3,7,32.768,22377,179.0105
20,120,0,5,0,7,32.768,45606,364.615
21,120,0,5,1,7,32.768,36535,292.379
22,120,0,5,2,7,32.768,29196,233.5535
23,120,0,5,3,7,32.768,29771,237.9835
24,120,0,6,0,7,32.768,53762,430.1455
25,120,0,6,1,7,32.768,50702,405.7335
26,120,0,6,2,7,32.768,40424,323.211
27,120,0,6,3,7,32.768,32416,259.469
28,120,0,7,0,7,32.768,0,0.0
29,120,0,7,1,7,32.768,1,0.003
30,120,0,7,2,7,32.768,45780,366.0485
31,120,0,7,3,7,32.768,34180,273.5425
32,120,1,0,0,0,32.768,0,0.0
33,120,1,0,1,0,32.768,59583,61166.656
34,120,1,0,2,0,32.768,50814,52153.344000000005
35,120,1,0,3,0,32.768,46434,47648.896
36,120,1,1,0,0,32.768,92180,94383.552
37,120,1,1,1,0,32.768,1,1.024
38,120,1,1,2,0,32.768,67177,68659.712
39,120,1,1,3,0,32.768,60224,61547.520000000004
40,120,1,2,0,0,32.768,129764,132527.168
41,120,1,2,1,0,32.768,97030,99338.496
42,120,1,2,2,0,32.768,89587,92012.928
43,120,1,2,3,0,32.768,75544,77423.424
44,120,1,3,0,0,32.768,143146,147014.144
45,120,1,3,1,0,32.768,117501,120507.456
46,120,1,3,2,0,32.768,101039,103573.76000000001
47,120,1,3,3,0,32.768,89610,91789.696
48,120,1,4,0,0,32.768,52657,53871.616
49,120,1,4,1,0,32.768,42081,43172.8
50,120,1,4,2,0,32.768,37407,38210.816
51,120,1,4,3,0,32.768,32600,33373.888
52,120,1,5,0,0,32.768,1,1.1520000000000001
53,120,1,5,1,0,32.768,61341,62678.272000000004
54,120,1,5,2,0,32.768,56281,57663.616
55,120,1,5,3,0,32.768,46904,47961.344000000005
56,120,1,6,0,0,32.768,87519,89835.776
57,120,1,6,1,0,32.768,79055,80734.72
58,120,1,6,2,0,32.768,61971,63657.344000000005
59,120,1,6,3,0,32.768,55509,56782.656
60,120,1,7,0,0,32.768,103513,106297.088
61,120,1,7,1,0,32.768,89368,91462.144
62,120,1,7,2,0,32.768,75645,77336.064
63,120,1,7,3,0,32.768,65932,67524.544
