,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,60,0,0,0,6,32.768,0,0.0
1,60,0,0,1,6,32.768,7233,115.73
2,60,0,0,2,6,32.768,5719,91.401
3,60,0,0,3,6,32.768,1,0.016
4,60,0,1,0,6,32.768,10262,164.39600000000002
5,60,0,1,1,6,32.768,9480,151.58
6,60,0,1,2,6,32.768,7439,119.08500000000001
7,60,0,1,3,6,32.768,6271,100.508
8,60,0,2,0,6,32.768,1,0.016
9,60,0,2,1,6,32.768,8479,135.839
10,60,0,2,2,6,32.768,9364,149.699
11,60,0,2,3,6,32.768,6771,108.47200000000001
12,60,0,3,0,6,32.768,12312,196.744
13,60,0,3,1,6,32.768,0,0.0
14,60,0,3,2,6,32.768,8934,142.81300000000002
15,60,0,3,3,6,32.768,6836,109.23100000000001
16,60,0,4,0,7,32.768,2977,23.8255
17,60,0,4,1,7,32.768,2692,21.5465
18,60,0,4,2,7,32.768,0,0.0
19,60,0,4,3,7,32.768,1725,13.794
20,60,0,5,0,7,32.768,1,0.001
21,60,0,5,1,7,32.768,2954,23.6415
22,60,0,5,2,7,32.768,2354,18.8395
23,60,0,5,3,7,32.768,2271,18.1585
24,60,0,6,0,7,32.768,3946,31.5865
25,60,0,6,1,7,32.768,2196,17.463
26,60,0,6,2,7,32.768,3229,25.829
27,60,0,6,3,7,32.768,2476,19.8165
28,60,0,7,0,7,32.768,0,0.0
29,60,0,7,1,7,32.768,1797,14.477
30,60,0,7,2,7,32.768,1,0.011
31,60,0,7,3,7,32.768,2720,21.7725
32,60,1,0,0,0,32.768,27649,28222.72
33,60,1,0,1,0,32.768,64,44.480000000000004
34,60,1,0,2,0,32.768,537,541.888
35,60,1,0,3,0,32.768,20171,20706.112
36,60,1,1,0,0,32.768,0,0.0
37,60,1,1,1,0,32.768,1,1.024
38,60,1,1,2,0,32.768,1,1.024
39,60,1,1,3,0,32.768,26055,26692.288
40,60,1,2,0,0,32.768,0,0.0
41,60,1,2,1,0,32.768,42927,43804.608
42,60,1,2,2,0,32.768,40931,41830.592000000004
43,60,1,2,3,0,32.768,33233,34087.168
44,60,1,3,0,0,32.768,0,0.0
45,60,1,3,1,0,32.768,13202,11498.048
46,60,1,3,2,0,32.768,45700,46807.168
47,60,1,3,3,0,32.768,40072,41135.552
48,60,1,4,0,0,32.768,4057,3091.5840000000003
49,60,1,4,1,0,32.768,16973,17351.872
50,60,1,4,2,0,32.768,14916,15244.48
51,60,1,4,3,0,32.768,13110,13393.344000000001
52,60,1,5,0,0,32.768,1,1.024
53,60,1,5,1,0,32.768,25576,26234.304
54,60,1,5,2,0,32.768,23933,24472.448
55,60,1,5,3,0,32.768,19023,19508.48
56,60,1,6,0,0,32.768,35982,36872.64
57,60,1,6,1,0,32.768,0,0.0
58,60,1,6,2,0,32.768,25123,25779.776
59,60,1,6,3,0,32.768,22469,23019.008
60,60,1,7,0,0,32.768,42815,43874.048
61,60,1,7,1,0,32.768,37247,38254.72
62,60,1,7,2,0,32.768,31200,31922.304
63,60,1,7,3,0,32.768,27403,27974.08
