,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-20,0,0,0,6,32.768,0,0.0
1,-20,0,0,1,6,32.768,1,0.016
2,-20,0,0,2,6,32.768,67,1.074
3,-20,0,0,3,6,32.768,1,0.016
4,-20,0,1,0,6,32.768,101,1.633
5,-20,0,1,1,6,32.768,108,1.708
6,-20,0,1,2,6,32.768,89,1.435
7,-20,0,1,3,6,32.768,1,0.024
8,-20,0,2,0,6,32.768,1,0.016
9,-20,0,2,1,6,32.768,103,1.676
10,-20,0,2,2,6,32.768,0,0.0
11,-20,0,2,3,6,32.768,0,0.0
12,-20,0,3,0,6,32.768,155,2.5100000000000002
13,-20,0,3,1,6,32.768,0,0.0
14,-20,0,3,2,6,32.768,1,0.019
15,-20,0,3,3,6,32.768,79,1.262
16,-20,0,4,0,7,32.768,16,0.132
17,-20,0,4,1,7,32.768,21,0.20800000000000002
18,-20,0,4,2,7,32.768,0,0.0
19,-20,0,4,3,7,32.768,19,0.1575
20,-20,0,5,0,7,32.768,0,0.002
21,-20,0,5,1,7,32.768,30,0.266
22,-20,0,5,2,7,32.768,20,0.162
23,-20,0,5,3,7,32.768,15,0.1335
24,-20,0,6,0,7,32.768,18,0.154
25,-20,0,6,1,7,32.768,1,0.008
26,-20,0,6,2,7,32.768,16,0.136
27,-20,0,6,3,7,32.768,14,0.149
28,-20,0,7,0,7,32.768,0,0.0
29,-20,0,7,1,7,32.768,19,0.152
30,-20,0,7,2,7,32.768,1,0.0155
31,-20,0,7,3,7,32.768,14,0.1225
32,-20,1,0,0,0,32.768,3638,3734.08
33,-20,1,0,1,0,32.768,0,0.0
34,-20,1,0,2,0,32.768,1,1.024
35,-20,1,0,3,0,32.768,2654,2714.0480000000002
36,-20,1,1,0,0,32.768,0,0.0
37,-20,1,1,1,0,32.768,1,1.024
38,-20,1,1,2,0,32.768,1,1.024
39,-20,1,1,3,0,32.768,3346,3430.4
40,-20,1,2,0,0,32.768,1,1.024
41,-20,1,2,1,0,32.768,1,1.024
42,-20,1,2,2,0,32.768,1,1.024
43,-20,1,2,3,0,32.768,9,7.5520000000000005
44,-20,1,3,0,0,32.768,0,0.0
45,-20,1,3,1,0,32.768,1,1.024
46,-20,1,3,2,0,32.768,1,1.024
47,-20,1,3,3,0,32.768,5642,5795.968
48,-20,1,4,0,0,32.768,1,1.024
49,-20,1,4,1,0,32.768,1911,1951.9360000000001
50,-20,1,4,2,0,32.768,1,1.024
51,-20,1,4,3,0,32.768,0,0.0
52,-20,1,5,0,0,32.768,1,1.024
53,-20,1,5,1,0,32.768,1,1.024
54,-20,1,5,2,0,32.768,2898,2958.08
55,-20,1,5,3,0,32.768,2108,2162.688
56,-20,1,6,0,0,32.768,4146,4247.104
57,-20,1,6,1,0,32.768,0,0.0
58,-20,1,6,2,0,32.768,2836,2910.3360000000002
59,-20,1,6,3,0,32.768,2516,2567.2960000000003
60,-20,1,7,0,0,32.768,1,1.024
61,-20,1,7,1,0,32.768,4352,4456.704
62,-20,1,7,2,0,32.768,3420,3493.056
63,-20,1,7,3,0,32.768,3100,3181.632
