,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,60,0,0,0,6,32.768,1,0.041
1,60,0,0,1,6,32.768,0,0.0
2,60,0,0,2,6,32.768,5877,94.119
3,60,0,0,3,6,32.768,0,0.0
4,60,0,1,0,6,32.768,0,0.0
5,60,0,1,1,6,32.768,1919,31.596
6,60,0,1,2,6,32.768,4954,79.175
7,60,0,1,3,6,32.768,5870,93.936
8,60,0,2,0,6,32.768,0,0.0
9,60,0,2,1,6,32.768,0,0.0
10,60,0,2,2,6,32.768,6417,102.551
11,60,0,2,3,6,32.768,1,0.016
12,60,0,3,0,6,32.768,10100,161.478
13,60,0,3,1,6,32.768,1,0.025
14,60,0,3,2,6,32.768,0,0.0
15,60,0,3,3,6,32.768,6751,107.855
16,60,0,4,0,7,32.768,2559,20.491
17,60,0,4,1,7,32.768,2353,18.8245
18,60,0,4,2,7,32.768,1870,14.964500000000001
19,60,0,4,3,7,32.768,1839,14.721
20,60,0,5,0,7,32.768,2428,19.4095
21,60,0,5,1,7,32.768,2723,21.7825
22,60,0,5,2,7,32.768,2227,17.823
23,60,0,5,3,7,32.768,2299,18.375
24,60,0,6,0,7,32.768,32,0.362
25,60,0,6,1,7,32.768,3294,26.366500000000002
26,60,0,6,2,7,32.768,3573,28.5915
27,60,0,6,3,7,32.768,2196,17.557
28,60,0,7,0,7,32.768,4664,37.3195
29,60,0,7,1,7,32.768,1,0.008
30,60,0,7,2,7,32.768,3192,25.533
31,60,0,7,3,7,32.768,2589,20.7245
32,60,1,0,0,0,32.768,1,1.024
33,60,1,0,1,0,32.768,26613,27225.28
34,60,1,0,2,0,32.768,21694,22226.496
35,60,1,0,3,0,32.768,20662,21111.552
36,60,1,1,0,0,32.768,1,1.088
37,60,1,1,1,0,32.768,1,1.024
38,60,1,1,2,0,32.768,31147,31803.136000000002
39,60,1,1,3,0,32.768,30891,31615.616
40,60,1,2,0,0,32.768,0,0.0
41,60,1,2,1,0,32.768,1,1.024
42,60,1,2,2,0,32.768,37667,38617.92
43,60,1,2,3,0,32.768,33207,34019.392
44,60,1,3,0,0,32.768,1,1.024
45,60,1,3,1,0,32.768,52541,53861.632
46,60,1,3,2,0,32.768,49664,50821.568
47,60,1,3,3,0,32.768,27720,29149.952
48,60,1,4,0,0,32.768,23537,24033.792
49,60,1,4,1,0,32.768,0,0.0
50,60,1,4,2,0,32.768,15315,15618.624
51,60,1,4,3,0,32.768,14130,14498.048
52,60,1,5,0,0,32.768,0,0.0
53,60,1,5,1,0,32.768,24558,25058.816
54,60,1,5,2,0,32.768,21916,22417.024
55,60,1,5,3,0,32.768,19813,20259.2
56,60,1,6,0,0,32.768,36438,37279.168
57,60,1,6,1,0,32.768,31221,31878.592
58,60,1,6,2,0,32.768,27573,28208.768
59,60,1,6,3,0,32.768,24044,24621.888
60,60,1,7,0,0,32.768,44930,45976.0
61,60,1,7,1,0,32.768,0,0.0
62,60,1,7,2,0,32.768,32218,33022.976
63,60,1,7,3,0,32.768,26398,27082.048
