,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-20,0,0,0,6,32.768,0,0.0
1,-20,0,0,1,6,32.768,101,1.577
2,-20,0,0,2,6,32.768,0,0.0
3,-20,0,0,3,6,32.768,53,0.852
4,-20,0,1,0,6,32.768,62,0.969
5,-20,0,1,1,6,32.768,89,1.413
6,-20,0,1,2,6,32.768,80,1.314
7,-20,0,1,3,6,32.768,48,0.78
8,-20,0,2,0,6,32.768,0,0.0
9,-20,0,2,1,6,32.768,23,0.202
10,-20,0,2,2,6,32.768,0,0.0
11,-20,0,2,3,6,32.768,155,2.517
12,-20,0,3,0,6,32.768,1,0.016
13,-20,0,3,1,6,32.768,1,0.016
14,-20,0,3,2,6,32.768,1,0.163
15,-20,0,3,3,6,32.768,75,1.2630000000000001
16,-20,0,4,0,7,32.768,20,0.1835
17,-20,0,4,1,7,32.768,20,0.164
18,-20,0,4,2,7,32.768,11,0.091
19,-20,0,4,3,7,32.768,17,0.1495
20,-20,0,5,0,7,32.768,10,0.0765
21,-20,0,5,1,7,32.768,1,0.008
22,-20,0,5,2,7,32.768,1,0.008
23,-20,0,5,3,7,32.768,1,0.008
24,-20,0,6,0,7,32.768,74,0.584
25,-20,0,6,1,7,32.768,1,0.008
26,-20,0,6,2,7,32.768,19,0.1515
27,-20,0,6,3,7,32.768,13,0.0915
28,-20,0,7,0,7,32.768,1,0.008
29,-20,0,7,1,7,32.768,25,0.18
30,-20,0,7,2,7,32.768,1,0.006
31,-20,0,7,3,7,32.768,13,0.117
32,-20,1,0,0,0,32.768,3924,4006.976
33,-20,1,0,1,0,32.768,1,1.024
34,-20,1,0,2,0,32.768,3278,3357.12
35,-20,1,0,3,0,32.768,1,1.024
36,-20,1,1,0,0,32.768,1,1.024
37,-20,1,1,1,0,32.768,0,0.0
38,-20,1,1,2,0,32.768,0,0.0
39,-20,1,1,3,0,32.768,3773,3874.2400000000002
40,-20,1,2,0,0,32.768,1,1.024
41,-20,1,2,1,0,32.768,2891,2765.312
42,-20,1,2,2,0,32.768,1,1.024
43,-20,1,2,3,0,32.768,0,0.0
44,-20,1,3,0,0,32.768,0,0.0
45,-20,1,3,1,0,32.768,8070,8284.928
46,-20,1,3,2,0,32.768,0,0.0
47,-20,1,3,3,0,32.768,6286,6434.752
48,-20,1,4,0,0,32.768,2322,2385.856
49,-20,1,4,1,0,32.768,1,1.024
50,-20,1,4,2,0,32.768,1482,1515.776
51,-20,1,4,3,0,32.768,1625,1667.712
52,-20,1,5,0,0,32.768,1,1.024
53,-20,1,5,1,0,32.768,2466,2523.392
54,-20,1,5,2,0,32.768,1,1.024
55,-20,1,5,3,0,32.768,2170,2217.152
56,-20,1,6,0,0,32.768,1,1.024
57,-20,1,6,1,0,32.768,3705,3782.016
58,-20,1,6,2,0,32.768,1,1.024
59,-20,1,6,3,0,32.768,2954,3027.968
60,-20,1,7,0,0,32.768,1,1.024
61,-20,1,7,1,0,32.768,3970,4055.936
62,-20,1,7,2,0,32.768,3713,3811.84
63,-20,1,7,3,0,32.768,1,1.024
