,CTR1,CTR2,FreqRef (kHz),Res1 (kHz),Res2 (kHz)
0,6,5,32.768,0.0,0.0
1,6,5,32.768,0.10736417279521136,0.16243774930723462
2,6,5,32.768,0.073944238450335,0.09832074857322844
3,6,5,32.768,0.0,0.0
4,6,5,32.768,0.0,0.0
5,6,5,32.768,0.19742340286804905,0.2453955631220744
6,6,5,32.768,0.02545760397209447,0.045214086300620966
7,6,5,32.768,0.066682003569179,0.06625159318839058
8,6,5,32.768,0.0,0.0
9,6,5,32.768,0.0,0.0
10,6,5,32.768,0.032208918019703804,0.04325921867070647
11,6,5,32.768,0.0,0.0
12,6,5,32.768,0.03296893082888797,0.05536184968008206
13,6,5,32.768,0.0,0.0
14,6,5,32.768,0.0,0.0
15,6,5,32.768,0.10913771117262815,0.15812371865093489
16,7,5,32.768,0.011653394355294083,0.02523540370194224
17,7,5,32.768,0.013646977687385584,0.03290091792032557
18,7,5,32.768,0.006205030217492901,0.02026638596296833
19,7,5,32.768,0.010079682534683321,0.02134906086927479
20,7,5,32.768,0.0039019994874423033,0.010761709901312151
21,7,5,32.768,0.003699945945551097,0.016098894371974745
22,7,5,32.768,0.21428062348238583,0.46276868346939815
23,7,5,32.768,0.3429769345014327,0.6441624639793907
24,7,5,32.768,0.025475195779424347,0.07836799346672085
25,7,5,32.768,0.005617686356499445,0.01549275959924506
26,7,5,32.768,0.0135242596839901,0.035426182407931
27,7,5,32.768,0.0045949537538478025,0.015476226930359997
28,7,5,32.768,0.005768882040742384,0.020367189300441044
29,7,5,32.768,0.0,0.0
30,7,5,32.768,0.009765244492586962,0.023567299378588123
31,7,5,32.768,0.008187795796183488,0.020567313874203408
32,0,5,32.768,0.0,0.0
33,0,5,32.768,28.809151285631444,23.36317772578037
34,0,5,32.768,0.9904785235430398,0.16855557659122405
35,0,5,32.768,21.122029904874204,17.919930571294078
36,0,5,32.768,0.0,0.0
37,0,5,32.768,13.474108581780097,0.0
38,0,5,32.768,0.0,0.0
39,0,5,32.768,32.95781184814307,27.036598061028315
40,0,5,32.768,0.0,0.0
41,0,5,32.768,0.0,0.0
42,0,5,32.768,39.963711903195374,31.353554204498096
43,0,5,32.768,33.57614022787015,27.13344228512114
44,0,5,32.768,0.0,0.0
45,0,5,32.768,51.427619731720036,44.87153494613707
46,0,5,32.768,0.0,0.0
47,0,5,32.768,0.0,0.0
48,0,5,32.768,0.0,0.0
49,0,5,32.768,0.0,0.0
50,0,5,32.768,14.244366345415301,12.16445349605152
51,0,5,32.768,12.874184768225135,11.14720022965408
52,0,5,32.768,0.0,0.0
53,0,5,32.768,24.660769004846543,19.54634942636604
54,0,5,32.768,20.3948797489566,17.583161839168746
55,0,5,32.768,18.82545395149875,15.379288485804537
56,0,5,32.768,33.42042340040592,27.765078221391708
57,0,5,32.768,27.580059456817708,23.597619025655955
58,0,5,32.768,25.378273584907227,21.606119391542755
59,0,5,32.768,21.981144501594994,18.786554963547736
60,0,5,32.768,43.167461789380205,35.309356487911245
61,0,5,32.768,41.07705386405408,31.159138249033784
62,0,5,32.768,31.00687556103646,25.602173707714744
63,0,5,32.768,23.877176952864424,20.257876991076827
