,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,70,0,0,0,6,32.768,14070,225.24200000000002
1,70,0,0,1,6,32.768,0,0.0
2,70,0,0,2,6,32.768,8104,129.71
3,70,0,0,3,6,32.768,10084,161.144
4,70,0,1,0,6,32.768,15009,239.918
5,70,0,1,1,6,32.768,11940,190.977
6,70,0,1,2,6,32.768,10917,174.49
7,70,0,1,3,6,32.768,9844,157.717
8,70,0,2,0,6,32.768,13869,221.633
9,70,0,2,1,6,32.768,0,0.0
10,70,0,2,2,6,32.768,15428,246.857
11,70,0,2,3,6,32.768,11026,176.21
12,70,0,3,0,6,32.768,0,0.0
13,70,0,3,1,6,32.768,0,0.0
14,70,0,3,2,6,32.768,15313,245.272
15,70,0,3,3,6,32.768,12061,192.886
16,70,0,4,0,7,32.768,4366,34.914500000000004
17,70,0,4,1,7,32.768,5185,41.503
18,70,0,4,2,7,32.768,4183,33.465
19,70,0,4,3,7,32.768,3080,24.635
20,70,0,5,0,7,32.768,6754,54.0025
21,70,0,5,1,7,32.768,6096,48.755
22,70,0,5,2,7,32.768,0,0.0025
23,70,0,5,3,7,32.768,4051,32.3945
24,70,0,6,0,7,32.768,8545,68.3205
25,70,0,6,1,7,32.768,6791,54.356
26,70,0,6,2,7,32.768,5741,45.932
27,70,0,6,3,7,32.768,5263,42.0875
28,70,0,7,0,7,32.768,8729,69.8015
29,70,0,7,1,7,32.768,7959,63.655
30,70,0,7,2,7,32.768,6227,49.8225
31,70,0,7,3,7,32.768,6013,48.1345
32,70,1,0,0,0,32.768,1,1.024
33,70,1,0,1,0,32.768,1,1.024
34,70,1,0,2,0,32.768,29236,29935.104
35,70,1,0,3,0,32.768,29456,30089.600000000002
36,70,1,1,0,0,32.768,55904,57277.632
37,70,1,1,1,0,32.768,54866,56007.936
38,70,1,1,2,0,32.768,40223,41232.448000000004
39,70,1,1,3,0,32.768,41659,42722.496
40,70,1,2,0,0,32.768,72333,73956.032
41,70,1,2,1,0,32.768,62833,64254.848
42,70,1,2,2,0,32.768,1,1.024
43,70,1,2,3,0,32.768,47663,48853.504
44,70,1,3,0,0,32.768,1,1.024
45,70,1,3,1,0,32.768,1,1.408
46,70,1,3,2,0,32.768,65247,66981.312
47,70,1,3,3,0,32.768,58672,60244.672
48,70,1,4,0,0,32.768,29562,30205.888
49,70,1,4,1,0,32.768,23046,23592.576
50,70,1,4,2,0,32.768,19988,20496.0
51,70,1,4,3,0,32.768,17541,17908.032
52,70,1,5,0,0,32.768,1,1.024
53,70,1,5,1,0,32.768,38743,39687.488
54,70,1,5,2,0,32.768,32632,33402.752
55,70,1,5,3,0,32.768,25909,26537.856
56,70,1,6,0,0,32.768,1,1.024
57,70,1,6,1,0,32.768,41370,42218.24
58,70,1,6,2,0,32.768,39694,40658.752
59,70,1,6,3,0,32.768,33038,33841.6
60,70,1,7,0,0,32.768,63876,65530.368
61,70,1,7,1,0,32.768,53720,55020.224
62,70,1,7,2,0,32.768,42834,43720.512
63,70,1,7,3,0,32.768,37439,38314.752
