,Ivdd (A),Ivdd1v8 (A)
0,1.1924450329371828e-05,1.3129071137521231e-06
1,2.0263050782190113e-07,1.103018126353791e-06
2,6.335373300171519e-06,1.3353262984562605e-06
3,1.7903749384236453e-07,1.0777784150246305e-06
4,1.5541965357142865e-06,8.417454023809515e-07
5,9.132996775981528e-06,1.3859171016166284e-06
6,2.0232660167464114e-07,1.1181718157894742e-06
7,6.5765250144230844e-06,1.2658131947115393e-06
8,2.0733255172413804e-05,2.0584468593103464e-06
9,1.798753101796403e-07,1.1232778874251502e-06
10,2.0278313092783505e-06,1.004642824742268e-06
11,8.430746196682463e-06,1.2800899597156396e-06
12,1.7444064305555548e-05,1.4225730402777774e-06
13,1.8699616328963058e-07,1.1127963957091761e-06
14,1.3166432382310973e-05,1.3944321312410829e-06
15,9.652636488938047e-06,1.2993921902654858e-06
16,1.073400009508716e-06,1.0931855895404114e-06
17,1.6956236919917873e-06,9.699083449691982e-07
18,1.6268556839546209e-06,1.0524162042139379e-06
19,1.8558784875886533e-06,1.0359739414893607e-06
20,2.030666262857142e-06,1.1211138285714283e-06
21,2.0799642050209192e-06,1.1238693535564848e-06
22,1.8773406855791944e-07,1.1065654775413707e-06
23,1.0877674096573205e-06,1.231206331775701e-06
24,1.9301716365824304e-07,1.2809455210589668e-06
25,2.80551658410351e-06,1.13378598336414e-06
26,1.9198575252100832e-06,9.960087689075633e-07
27,2.0203681739788205e-06,1.1172810196671701e-06
28,4.074432326618704e-06,1.1902705625899288e-06
29,3.5043391269349815e-06,1.10563662383901e-06
30,1.9201673007117434e-06,9.845577882562277e-07
31,3.0576571488616463e-06,1.0697505569176881e-06
32,1.7131297401247392e-06,2.3552487525987525e-06
33,1.6571919106753814e-06,2.3886339869281056e-06
34,0.005455573556430446,2.5629142913385822e-05
35,1.9013902256532052e-07,2.545596080760093e-06
36,1.4831901203501098e-06,3.3178439606126933e-06
37,1.4477153951965063e-06,3.4456201965065487e-06
38,1.3021005021645007e-06,3.039595411255412e-06
39,1.7568869874739033e-06,3.2913679331941535e-06
40,0.00868136854245881,4.939191089987324e-05
41,1.8364156172839508e-06,4.2125817078189326e-06
42,1.8093378582834328e-06,3.8343523353293405e-06
43,0.004732332304785899,3.708422128463475e-05
44,1.8916403406593409e-06,5.44097553846154e-06
45,1.7734050068807345e-06,4.867184655963309e-06
46,1.6687346469344604e-06,4.258120232558139e-06
47,0.009601524128686326,5.1604947050938386e-05
48,0.0051033519687092655,2.3881302216427655e-05
49,0.003930313929503919,1.9227958093994787e-05
50,0.002969338452380953,1.533621428571429e-05
51,0.0029858602371541513,1.397069920948615e-05
52,1.5064407422037399e-06,2.5040977546777526e-06
53,1.8976583952095798e-07,2.7674151377245534e-06
54,1.8760600447761173e-06,2.661014733475482e-06
55,0.00427232408488064,2.0912527586206912e-05
56,1.3920304331797253e-06,2.7824223732718925e-06
57,0.00577723361702127,2.7928529255319178e-05
58,1.4698880139534882e-06,2.896928720930231e-06
59,0.0055259003034300825,2.4990501451187336e-05
60,0.008354016462765955,4.581449109042556e-05
61,0.007752012536327615,4.961950303830906e-05
62,0.00651249535286285,4.046092476697731e-05
63,0.00620752504660453,3.588103928095874e-05
