,Ivdd (A),Ivdd1v8 (A)
0,7.582945400943402e-06,1.362071415094339e-06
1,1.4972164965517235e-06,8.116935471264368e-07
2,6.404697650306744e-06,1.1597149263803674e-06
3,5.571894088235291e-06,1.2163624957983191e-06
4,1.7995716666666657e-07,1.0237501226190487e-06
5,1.333709339626168e-05,1.0874620841121496e-06
6,8.020031317241373e-06,1.292841845977012e-06
7,7.079875538283067e-06,1.1925733341067283e-06
8,1.5395216091954014e-06,9.638397885057468e-07
9,1.0734131073375258e-05,1.0906523731656194e-06
10,1.892636570438797e-07,1.0148999896073886e-06
11,7.899361927058827e-06,1.173472291764706e-06
12,1.9824298771551728e-06,7.692928771551722e-07
13,1.845197693208429e-07,9.958184332552687e-07
14,1.2408342285012283e-06,8.767429017199017e-07
15,1.3019079760286231e-05,1.2032518837209303e-06
16,1.7715639564315347e-06,8.507522904564318e-07
17,1.861278074245939e-07,9.919239535962872e-07
18,1.8401610104529609e-07,1.0140438757258996e-06
19,1.7736113551999996e-06,9.97646800000001e-07
20,1.9742279322429898e-07,1.01977298364486e-06
21,1.9561794942084954e-06,1.0419134073359074e-06
22,1.3423203842482098e-06,7.851926921241043e-07
23,1.8990970137299727e-07,1.0054908741418762e-06
24,1.6071379056974465e-06,9.895344891944992e-07
25,3.578218264550266e-06,1.111788276895943e-06
26,1.7257214887063671e-06,8.838860020533877e-07
27,2.0417618253012028e-06,9.412847409638557e-07
28,3.547165429197082e-06,1.1591342175182486e-06
29,1.7415937280858683e-06,9.812976976744183e-07
30,3.4809647448377544e-06,9.506775368731566e-07
31,1.919403384742953e-06,9.272271028192379e-07
32,0.0063236478160919535,3.772423001277139e-05
33,0.0033524616347381866,3.149480191570882e-05
34,1.4440155045454549e-06,2.2704327500000007e-06
35,1.904801344632769e-07,2.2698347344632773e-06
36,0.00533234166882277,3.7632760543337674e-05
37,1.4218633257403205e-06,3.0934341457858746e-06
38,2.0311359582417577e-06,2.9601012307692315e-06
39,0.006583012246753251,3.218793974025978e-05
40,1.8330876530612254e-07,3.906908979591835e-06
41,1.9671159159663875e-06,3.599778823529412e-06
42,0.010112335421994896,3.700466547314575e-05
43,0.006066778279430786,3.4814226131953416e-05
44,1.6678178198198213e-06,4.0079544144144155e-06
45,1.0693785952941176e-06,4.187503576470591e-06
46,4.131239426812587e-06,4.375893119015049e-06
47,0.00942021002570696,4.627796786632385e-05
48,0.0047357944035533025,2.2805994416243647e-05
49,1.5631844963855427e-06,1.7453399373493983e-06
50,1.7222216588983058e-06,1.5888031843220348e-06
51,1.7937201880141012e-07,1.872362534665099e-06
52,1.8633294152046792e-07,2.4838752631578973e-06
53,1.9240011877828053e-07,2.6090783031674193e-06
54,0.00503848631306598,2.2523834799482543e-05
55,0.004774129664516128,2.248325341935482e-05
56,0.008192927590206192,3.452610734536084e-05
57,0.004924361919060052,2.739301266318541e-05
58,0.008325275140664947,2.7541256905370817e-05
59,0.0055541243994778056,2.47790519582245e-05
60,1.6928408915187392e-06,2.9736913609467452e-06
61,1.1505240375586857e-06,2.8693551173708913e-06
62,0.008480083992042432,4.057712347480105e-05
63,0.006437015352480418,3.686389281984333e-05
