,Ivdd (A),Ivdd1v8 (A)
0,1.9735037620192296e-07,9.080485781249993e-07
1,7.201143110311741e-06,1.3476105611510794e-06
2,6.256284774774774e-06,1.1154717261261256e-06
3,1.89776029726516e-07,8.944536349583815e-07
4,1.6880189977876119e-06,7.8900603539823e-07
5,1.9207027207637226e-07,9.687924152744633e-07
6,6.628392952479342e-06,1.050124952479339e-06
7,1.3095125510688829e-06,7.420609192399054e-07
8,1.8230030445246698e-07,9.372222683513842e-07
9,1.2916963962558503e-05,1.132747620904836e-06
10,7.157868672941178e-06,1.07388414117647e-06
11,9.171966076404493e-06,1.188432732584269e-06
12,1.873434416666667e-07,9.453728452380951e-07
13,1.9472096809815974e-07,9.039647852760749e-07
14,1.2567045848591557e-05,1.077235915492959e-06
15,1.2415711672801645e-05,9.531467443762785e-07
16,2.0032858433734926e-07,9.336670060240961e-07
17,2.0478989530612267e-06,8.130924816326536e-07
18,1.7606445508196729e-06,9.176186950819679e-07
19,1.8593186413043475e-06,1.2937509347826096e-06
20,1.8143076518846993e-06,8.267612283813746e-07
21,1.7319848086124413e-07,9.073049019138735e-07
22,1.5377700394736839e-06,8.099998179824555e-07
23,1.2937687408000011e-06,8.056868591999992e-07
24,2.075101283842796e-06,8.251423231441044e-07
25,1.9487868192771073e-07,8.80555396385544e-07
26,2.010231471544716e-06,8.872732585365864e-07
27,1.8150717463175116e-06,9.212964140752867e-07
28,1.7585084170506904e-06,8.93687550691244e-07
29,2.2798062087475153e-06,9.007615506958248e-07
30,1.8017035423076908e-06,7.916341480769224e-07
31,2.3868358110882966e-06,9.03274593429158e-07
32,1.667627593023255e-06,2.0963356976744203e-06
33,1.5825172680180156e-06,2.197363918918921e-06
34,0.004737354340878825,2.2089413715046618e-05
35,1.4544167488262908e-06,2.186743215962442e-06
36,0.0056552554039735106,4.168640079470202e-05
37,0.0077480957421874955,3.743228854166661e-05
38,0.005210875950520829,2.756377135416668e-05
39,0.0057713163200000025,2.6499419733333358e-05
40,1.7441021956521728e-06,3.170329847826086e-06
41,1.673123961038961e-06,3.1208161471861474e-06
42,1.2550629861751165e-06,3.057384055299537e-06
43,0.009616767376830902,3.3256516511318194e-05
44,1.9664942058212054e-06,3.7991016216216223e-06
45,1.7194978763557493e-06,3.848821626898049e-06
46,1.9107056728538284e-07,4.0105978306264505e-06
47,0.0033769551122853365,4.4128911096433306e-05
48,1.3206509829268283e-06,1.6367683195121948e-06
49,0.003473638292046938,1.9122415254237298e-05
50,0.0031341601712780017,1.544664861660079e-05
51,0.0026973814247669764,1.29415207723036e-05
52,0.00557854063002681,2.5632929222520125e-05
53,0.0043715389507772056,2.1615687305699484e-05
54,0.004390122068965512,1.9400854907161797e-05
55,0.00357584787037037,1.7245389814814822e-05
56,1.8939098511530384e-06,2.811805471698111e-06
57,0.004690783615894037,2.785393178807947e-05
58,0.005775208715231789,2.3875788476821206e-05
59,0.005669799327956996,2.1493001075268803e-05
60,1.830862278688524e-06,2.6888871516393463e-06
61,0.009204516644649942,4.0978471862615583e-05
62,0.008673435432756343,3.9408524367510004e-05
63,0.005584719142091149,3.410633686327077e-05
