,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,120,0,0,0,6,32.768,0,0.0
1,120,0,0,1,6,32.768,63901,1021.889
2,120,0,0,2,6,32.768,42921,685.893
3,120,0,0,3,6,32.768,42343,678.131
4,120,0,1,0,6,32.768,94199,1509.759
5,120,0,1,1,6,32.768,0,0.0
6,120,0,1,2,6,32.768,60266,964.412
7,120,0,1,3,6,32.768,57096,913.443
8,120,0,2,0,6,32.768,0,0.0
9,120,0,2,1,6,32.768,86188,1378.371
10,120,0,2,2,6,32.768,61584,984.395
11,120,0,2,3,6,32.768,66127,1059.113
12,120,0,3,0,6,32.768,739,12.754
13,120,0,3,1,6,32.768,100645,1608.0230000000001
14,120,0,3,2,6,32.768,78964,1264.213
15,120,0,3,3,6,32.768,71118,1139.537
16,120,0,4,0,7,32.768,0,0.0
17,120,0,4,1,7,32.768,1,0.008
18,120,0,4,2,7,32.768,27842,222.796
19,120,0,4,3,7,32.768,25749,205.89350000000002
20,120,0,5,0,7,32.768,1,0.008
21,120,0,5,1,7,32.768,35439,283.629
22,120,0,5,2,7,32.768,33007,263.9855
23,120,0,5,3,7,32.768,26419,211.2775
24,120,0,6,0,7,32.768,56235,450.0985
25,120,0,6,1,7,32.768,0,0.0
26,120,0,6,2,7,32.768,33491,267.8175
27,120,0,6,3,7,32.768,32280,258.299
28,120,0,7,0,7,32.768,58487,467.9375
29,120,0,7,1,7,32.768,51805,414.2265
30,120,0,7,2,7,32.768,38369,307.0975
31,120,0,7,3,7,32.768,37267,298.1535
32,120,1,0,0,0,32.768,1,1.024
33,120,1,0,1,0,32.768,59261,60765.504
34,120,1,0,2,0,32.768,50175,51216.512
35,120,1,0,3,0,32.768,47563,48651.392
36,120,1,1,0,0,32.768,104624,107327.488
37,120,1,1,1,0,32.768,90411,92290.11200000001
38,120,1,1,2,0,32.768,70698,72625.728
39,120,1,1,3,0,32.768,65675,67057.088
40,120,1,2,0,0,32.768,2,1.792
41,120,1,2,1,0,32.768,108369,111317.888
42,120,1,2,2,0,32.768,92434,94534.144
43,120,1,2,3,0,32.768,81680,83394.432
44,120,1,3,0,0,32.768,1,1.024
45,120,1,3,1,0,32.768,1,1.024
46,120,1,3,2,0,32.768,112075,114610.88
47,120,1,3,3,0,32.768,97141,99315.52
48,120,1,4,0,0,32.768,1,1.024
49,120,1,4,1,0,32.768,46188,47180.288
50,120,1,4,2,0,32.768,39852,40773.824
51,120,1,4,3,0,32.768,34092,34863.808
52,120,1,5,0,0,32.768,77939,79854.08
53,120,1,5,1,0,32.768,59667,61271.616
54,120,1,5,2,0,32.768,53987,55179.968
55,120,1,5,3,0,32.768,46112,47123.008
56,120,1,6,0,0,32.768,102115,104830.40000000001
57,120,1,6,1,0,32.768,83299,85049.792
58,120,1,6,2,0,32.768,68477,70336.96
59,120,1,6,3,0,32.768,58040,59463.232
60,120,1,7,0,0,32.768,1,1.024
61,120,1,7,1,0,32.768,1425,1196.416
62,120,1,7,2,0,32.768,82063,83832.832
63,120,1,7,3,0,32.768,70614,72327.616
