,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-40,0,0,0,6,32.768,29,0.305
1,-40,0,0,1,6,32.768,1,0.016
2,-40,0,0,2,6,32.768,19,0.305
3,-40,0,0,3,6,32.768,24,0.328
4,-40,0,1,0,6,32.768,0,0.0
5,-40,0,1,1,6,32.768,32,0.532
6,-40,0,1,2,6,32.768,40,0.93
7,-40,0,1,3,6,32.768,0,0.0
8,-40,0,2,0,6,32.768,1,0.016
9,-40,0,2,1,6,32.768,0,0.001
10,-40,0,2,2,6,32.768,0,0.0
11,-40,0,2,3,6,32.768,47,0.665
12,-40,0,3,0,6,32.768,1,0.016
13,-40,0,3,1,6,32.768,0,0.0
14,-40,0,3,2,6,32.768,1,0.016
15,-40,0,3,3,6,32.768,1,0.016
16,-40,0,4,0,7,32.768,0,0.0
17,-40,0,4,1,7,32.768,0,0.0
18,-40,0,4,2,7,32.768,0,0.0
19,-40,0,4,3,7,32.768,7,0.061
20,-40,0,5,0,7,32.768,0,0.019
21,-40,0,5,1,7,32.768,20,0.1535
22,-40,0,5,2,7,32.768,1,0.008
23,-40,0,5,3,7,32.768,0,0.0
24,-40,0,6,0,7,32.768,2,0.0225
25,-40,0,6,1,7,32.768,1,0.008
26,-40,0,6,2,7,32.768,1,0.008
27,-40,0,6,3,7,32.768,14,0.17400000000000002
28,-40,0,7,0,7,32.768,19,0.202
29,-40,0,7,1,7,32.768,4,0.053
30,-40,0,7,2,7,32.768,1,0.008
31,-40,0,7,3,7,32.768,6,0.069
32,-40,1,0,0,0,32.768,0,0.0
33,-40,1,0,1,0,32.768,0,0.0
34,-40,1,0,2,0,32.768,1,1.024
35,-40,1,0,3,0,32.768,0,0.0
36,-40,1,1,0,0,32.768,2964,3038.3360000000002
37,-40,1,1,1,0,32.768,1,1.024
38,-40,1,1,2,0,32.768,1,1.024
39,-40,1,1,3,0,32.768,0,0.0
40,-40,1,2,0,0,32.768,0,0.0
41,-40,1,2,1,0,32.768,1,1.024
42,-40,1,2,2,0,32.768,3194,3276.48
43,-40,1,2,3,0,32.768,0,0.0
44,-40,1,3,0,0,32.768,1,1.024
45,-40,1,3,1,0,32.768,1,1.024
46,-40,1,3,2,0,32.768,1,1.024
47,-40,1,3,3,0,32.768,3565,3660.16
48,-40,1,4,0,0,32.768,1263,1293.824
49,-40,1,4,1,0,32.768,1,1.024
50,-40,1,4,2,0,32.768,1,1.024
51,-40,1,4,3,0,32.768,0,0.0
52,-40,1,5,0,0,32.768,0,0.0
53,-40,1,5,1,0,32.768,0,0.0
54,-40,1,5,2,0,32.768,1474,1504.128
55,-40,1,5,3,0,32.768,1404,1435.52
56,-40,1,6,0,0,32.768,0,0.0
57,-40,1,6,1,0,32.768,1709,1756.928
58,-40,1,6,2,0,32.768,1,1.024
59,-40,1,6,3,0,32.768,1,1.024
60,-40,1,7,0,0,32.768,1,1.024
61,-40,1,7,1,0,32.768,1,1.024
62,-40,1,7,2,0,32.768,2089,2140.672
63,-40,1,7,3,0,32.768,1871,1919.3600000000001
